geographicAreaM49,Geographic Area,measuredItemCPC,Item,measuredElement,Element,timePointYears,Year,Value,flagObservationStatus,flagMethod
24,Angola,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,33200,E,f
24,Angola,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,28500,E,f
28,Antigua and Barbuda,02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,836,E,f
28,Antigua and Barbuda,02122,Sheep,5315,Slaughtered/Prod Animals [head],2012,2012,917,E,f
28,Antigua and Barbuda,02123,Goats,5315,Slaughtered/Prod Animals [head],2012,2012,100,E,f
28,Antigua and Barbuda,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2013,2013,1270,E,f
28,Antigua and Barbuda,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2012,2012,1218,E,f
28,Antigua and Barbuda,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,35,,-
28,Antigua and Barbuda,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,67,,-
28,Antigua and Barbuda,21116,"Meat of goat, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,0,M,-
28,Antigua and Barbuda,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,35,,c
28,Antigua and Barbuda,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,67,,c
32,Argentina,02111,Cattle,5315,Slaughtered/Prod Animals [head],2013,2013,12625313,,-
32,Argentina,02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,11428791,,-
32,Argentina,02122,Sheep,5315,Slaughtered/Prod Animals [head],2013,2013,4375000,E,f
32,Argentina,02122,Sheep,5315,Slaughtered/Prod Animals [head],2012,2012,4580000,E,f
32,Argentina,02131,Horses,5315,Slaughtered/Prod Animals [head],2012,2012,136000,E,f
32,Argentina,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2013,2013,4805499,,-
32,Argentina,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2012,2012,3818758,,-
32,Argentina,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,732463,,-
32,Argentina,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,734646,,-
32,Argentina,02951.01,Raw hides and skins of cattle,5320,Slaughtered/Prod Animals [head],2013,2013,12625313,,c
32,Argentina,02951.01,Raw hides and skins of cattle,5320,Slaughtered/Prod Animals [head],2012,2012,11428791,,c
32,Argentina,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,12625313,,c
32,Argentina,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,11428791,,c
32,Argentina,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,4805499,,c
32,Argentina,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,3818758,,c
32,Argentina,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,732463,,c
32,Argentina,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,734646,,c
32,Argentina,21122,"Meat of ducks, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,0,M,-
32,Argentina,21123,"Meat of geese, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,0,M,-
32,Argentina,21151,"Edible offal of cattle, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,12625313,,c
32,Argentina,21151,"Edible offal of cattle, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,11428791,,c
32,Argentina,21153,"Edible offal of pigs, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,4805499,,c
32,Argentina,21153,"Edible offal of pigs, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,3818758,,c
32,Argentina,21511.01,Fat of pigs,5320,Slaughtered/Prod Animals [head],2013,2013,4805499,,c
32,Argentina,21511.01,Fat of pigs,5320,Slaughtered/Prod Animals [head],2012,2012,3818758,,c
32,Argentina,21512,"Cattle fat, unrendered",5320,Slaughtered/Prod Animals [head],2013,2013,12625313,,c
32,Argentina,21512,"Cattle fat, unrendered",5320,Slaughtered/Prod Animals [head],2012,2012,11428791,,c
51,Armenia(1992-),02111,Cattle,5315,Slaughtered/Prod Animals [head],2013,2013,510000,E,f
51,Armenia(1992-),02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,449000,E,f
51,Armenia(1992-),02122,Sheep,5315,Slaughtered/Prod Animals [head],2013,2013,562500,E,f
51,Armenia(1992-),02122,Sheep,5315,Slaughtered/Prod Animals [head],2012,2012,530000,E,f
51,Armenia(1992-),02123,Goats,5315,Slaughtered/Prod Animals [head],2014,2014,0,M,-
51,Armenia(1992-),02123,Goats,5315,Slaughtered/Prod Animals [head],2013,2013,0,M,-
51,Armenia(1992-),02123,Goats,5315,Slaughtered/Prod Animals [head],2012,2012,0,M,-
51,Armenia(1992-),02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2013,2013,155500,E,f
51,Armenia(1992-),02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2012,2012,117000,E,f
51,Armenia(1992-),02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,7800,E,f
51,Armenia(1992-),02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,7900,E,f
36,Australia,02111,Cattle,5315,Slaughtered/Prod Animals [head],2013,2013,8814100,,-
