"geographicAreaM49","Geographic Area","measuredItemCPC","Item","measuredElement","Element","timePointYears","Year","Value","flagObservationStatus","flagMethod"
"84","Belize","21111.01","Meat of cattle, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2013","2013",0,"M","u"
"84","Belize","21111.01","Meat of cattle, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2012","2012",0,"M","u"
"84","Belize","21113.01","Meat of pig, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2014","2014",0,"M","u"
"84","Belize","21113.01","Meat of pig, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2013","2013",0,"M","u"
"84","Belize","21113.01","Meat of pig, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2012","2012",0,"M","u"
"84","Belize","21115","Meat of sheep, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2014","2014",0,"M","u"
"84","Belize","21115","Meat of sheep, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2013","2013",0,"M","u"
"84","Belize","21115","Meat of sheep, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2012","2012",0,"M","u"
"84","Belize","21121","Meat of chickens, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2014","2014",0,"M","u"
"84","Belize","21121","Meat of chickens, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2013","2013",0,"M","u"
"84","Belize","21121","Meat of chickens, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2012","2012",0,"M","u"
"84","Belize","21124","Meat of turkeys, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2014","2014",0,"M","u"
"84","Belize","21124","Meat of turkeys, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2013","2013",0,"M","u"
"68","Bolivia (Plurinational State of)","21111.01","Meat of cattle, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2014","2014",0,"M","u"
"68","Bolivia (Plurinational State of)","21111.01","Meat of cattle, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2013","2013",0,"M","u"
"68","Bolivia (Plurinational State of)","21111.01","Meat of cattle, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2012","2012",0,"M","u"
"68","Bolivia (Plurinational State of)","21113.01","Meat of pig, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2014","2014",0,"M","u"
"68","Bolivia (Plurinational State of)","21113.01","Meat of pig, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2013","2013",0,"M","u"
"68","Bolivia (Plurinational State of)","21113.01","Meat of pig, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2012","2012",0,"M","u"
"68","Bolivia (Plurinational State of)","21114","Meat of rabbits and hares, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2014","2014",0,"M","u"
"68","Bolivia (Plurinational State of)","21114","Meat of rabbits and hares, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2013","2013",0,"M","u"
"68","Bolivia (Plurinational State of)","21114","Meat of rabbits and hares, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2012","2012",0,"M","u"
"68","Bolivia (Plurinational State of)","21115","Meat of sheep, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2014","2014",0,"M","u"
"68","Bolivia (Plurinational State of)","21115","Meat of sheep, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2013","2013",0,"M","u"
"68","Bolivia (Plurinational State of)","21115","Meat of sheep, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2012","2012",0,"M","u"
"68","Bolivia (Plurinational State of)","21116","Meat of goat, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2014","2014",0,"M","u"
"68","Bolivia (Plurinational State of)","21116","Meat of goat, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2013","2013",0,"M","u"
"68","Bolivia (Plurinational State of)","21116","Meat of goat, fresh or chilled","5320","Slaughtered/Prod Animals [head]","2012","2012",0,"M","u"
"68","Bolivia (Plurinational State of)","21121","Meat of chickens, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2014","2014",0,"M","u"
"68","Bolivia (Plurinational State of)","21121","Meat of chickens, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2013","2013",0,"M","u"
"68","Bolivia (Plurinational State of)","21121","Meat of chickens, fresh or chilled","5321","Slaughtered/Prod Animals [1000 head]","2012","2012",0,"M","u"
