"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"84","02151","5316","2014",10690.338,"","q"
"40","02111","5315","2014",675905,"","q"
"643","02123","5315","2013",962443,"","q"
"214","02151","5316","2013",174066.65,"","q"
"380","02151","5316","2014",508864,"","q"
"276","02151","5316","2013",644839,"","q"
"214","02151","5316","2012",161108.119,"","q"
"792","02151","5316","2013",1060673.395,"","q"
"792","02151","5316","2012",1047782.683,"","q"
"643","02122","5315","2013",10021592,"","q"
"276","02140","5315","2013",58622058,"","q"
"643","02140","5315","2012",30046699,"","q"
"643","02140","5315","2013",33005627,"","q"
"100","02111","5315","2012",142899,"","q"
"100","02111","5315","2013",131169,"","q"
"100","02112","5315","2012",1792,"","q"
"100","02122","5315","2012",1218993,"","q"
"100","02122","5315","2013",1007544,"","q"
"100","02123","5315","2012",264931,"","q"
"100","02123","5315","2013",226324,"","q"
"100","02140","5315","2012",1033036,"","q"
"100","02140","5315","2013",1044769,"","q"
"100","02151","5316","2012",51327,"","q"
"100","02151","5316","2013",46548,"","q"
"100","02152","5316","2012",84,"","q"
"100","02153","5316","2012",48,"","q"
"100","02154","5316","2012",5645,"","q"
"108","02111","5315","2012",60339,"","q"
"108","02111","5315","2013",45305,"","q"
"108","02123","5315","2012",291001,"","q"
"108","02123","5315","2013",283777,"","q"
"108","02140","5315","2012",73112,"","q"
"108","02140","5315","2013",76443,"","q"
"144","02140","5315","2012",30159,"","q"
"152","02111","5315","2012",762129,"","q"
"152","02111","5315","2013",790970,"","q"
"152","02122","5315","2012",674742,"","q"
"152","02122","5315","2013",607365,"","q"
"152","02131","5315","2012",47958,"","q"
"152","02131","5315","2013",38950,"","q"
"152","02140","5315","2012",5958659,"","q"
"152","02140","5315","2013",5499243,"","q"
"152","02151","5316","2012",254479,"","q"
"152","02151","5316","2013",259936,"","q"
"152","02152","5316","2012",9953,"","q"
"152","02152","5316","2013",9729,"","q"
"170","02111","5315","2012",4124658,"","q"
"188","02111","5315","2012",384190,"","q"
"188","02111","5315","2013",369955,"","q"
"188","02111","5315","2014",383459,"","q"
"188","02140","5315","2012",717032,"","q"
"188","02140","5315","2013",708838,"","q"
"188","02140","5315","2014",748834,"","q"
"188","02151","5316","2012",62558,"","q"
"188","02151","5316","2013",59684,"","q"
"191","02111","5315","2012",220400,"","q"
"191","02111","5315","2013",206900,"","q"
"191","02140","5315","2013",1477000,"","q"
"192","02111","5315","2012",395600,"","q"
"192","02111","5315","2013",402800,"","q"
"192","02111","5315","2014",423700,"","q"
"192","02123","5315","2012",258389,"","q"
"192","02123","5315","2013",239726,"","q"
"192","02131","5315","2012",1926,"","q"
"192","02131","5315","2013",1934,"","q"
"192","02131","5315","2014",2141,"","q"
"192","02140","5315","2012",3036100,"","q"
"192","02140","5315","2013",3366700,"","q"
"192","02140","5315","2014",3379600,"","q"
"192","02151","5316","2012",29904,"","q"
"192","02151","5316","2013",27733,"","q"
"192","02151","5316","2014",28997,"","q"
"196","02111","5315","2012",16716,"","q"
"196","02111","5315","2013",15197,"","q"
"196","02122","5315","2012",159674,"","q"
"196","02122","5315","2013",160521,"","q"
"196","02123","5315","2013",107483,"","q"
"196","02140","5315","2012",651094,"","q"
"196","02140","5315","2013",608624,"","q"
"196","02191","5316","2012",593,"","q"
"196","02191","5316","2013",593,"","q"
"203","02111","5315","2012",228768,"","q"
"203","02111","5315","2013",223022,"","q"
"203","02122","5315","2012",131374,"","q"
"203","02122","5315","2013",144319,"","q"
"203","02123","5315","2012",26481,"","q"
"203","02123","5315","2013",26449,"","q"
"203","02131","5315","2012",308,"","q"
"203","02131","5315","2013",280,"","q"
"203","02140","5315","2012",2842446,"","q"
"203","02140","5315","2013",2766691,"","q"
"203","02151","5316","2012",107979,"","q"
"203","02151","5316","2013",104342,"","q"
"203","02152","5316","2012",128,"","q"
"203","02152","5316","2013",136,"","q"
"203","02153","5316","2012",161,"","q"
"203","02153","5316","2013",162,"","q"
"203","02154","5316","2012",2192,"","q"
"203","02154","5316","2013",2524,"","q"
"214","02140","5315","2012",1034518,"","q"
"214","02140","5315","2013",1046050,"","q"
"233","02151","5316","2012",10225,"","q"
"233","02151","5316","2013",11114,"","q"
"246","02111","5315","2012",269400,"","q"
"246","02111","5315","2013",271300,"","q"
"246","02122","5315","2012",48500,"","q"
"246","02122","5315","2013",50400,"","q"
"246","02131","5315","2012",1795,"","q"
"246","02140","5315","2012",2143700,"","q"
"246","02140","5315","2013",2146000,"","q"
"246","02151","5316","2012",60007,"","q"
"246","02151","5316","2013",62363,"","q"
"246","02152","5316","2012",874,"","q"
"246","02152","5316","2013",776,"","q"
"275","02111","5315","2012",32389,"","q"
"276","02111","5315","2012",3653786,"","q"
